Sentence Index,Sentence,Incorrect Sentence
0,মই স্কুললৈ গলো।,তুমি স্কুললৈ গলো।
0,মই স্কুললৈ গলো।,আপুনি স্কুললৈ গলো।
0,মই স্কুললৈ গলো।,তোমাৰ স্কুললৈ গলো।
1,তেওঁ কিতাপ পঢ়ি থাকে।,তোৰ কিতাপৰ পৰা পঢ়ি থাকে থাকে।
1,তেওঁ কিতাপ পঢ়ি থাকে।,আপুনি কিতাপৰ পৰা পঢ়ি যাব থাকে।
1,তেওঁ কিতাপ পঢ়ি থাকে।,তেওঁলোকে কিতাপটি পঢ়িল থাকে।
1,তেওঁ কিতাপ পঢ়ি থাকে।,তেওঁলোকে কিতাপবোৰ পঢ়িছিল থাকে।
2,মই খেলিবলৈ পাৰোঁ।,তেওঁলোকে খেলিবলৈ পাৰোঁ।
2,মই খেলিবলৈ পাৰোঁ।,তুমি খেলিবলৈ পাৰোঁ।
2,মই খেলিবলৈ পাৰোঁ।,তোমাৰ খেলিবলৈ পাৰোঁ।
3,তুমি ক’ত গৈছিলা?,তোমাৰ ক’ত গৈছিলা?
3,তুমি ক’ত গৈছিলা?,তেওঁলোকে ক’ত গৈছিলা?
4,আজিৰ দিনটো ধুনীয়া।,আজিৰ দিনটো ধুনীয়া।
5,তুমি কি বিদ্যালয়লৈ যাও?,মই কি বিদ্যালয়লৈ যাও?
5,তুমি কি বিদ্যালয়লৈ যাও?,আপুনি কি বিদ্যালয়লৈ যাও?
5,তুমি কি বিদ্যালয়লৈ যাও?,তোমাৰ কি বিদ্যালয়লৈ যাও?
5,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁ কি বিদ্যালয়লৈ যাও?
6,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
7,তেওঁ খোৱা ধনিয়া পানীত।,তোৰ খোৱা ধনিয়া পানীত।
7,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁলোকে খোৱা ধনিয়া পানীত।
8,তেওঁ খোৱা ধনিয়া পানীত।,আপুনি খোৱা ধনিয়া পানীত।
8,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁলোকে খোৱা ধনিয়া পানীত।
8,তেওঁ খোৱা ধনিয়া পানীত।,তোৰ খোৱা ধনিয়া পানীত।
9,তুমি কি বিদ্যালয়লৈ যাও?,আপুনি কি বিদ্যালয়লৈ যাও?
9,তুমি কি বিদ্যালয়লৈ যাও?,তোমাৰ কি বিদ্যালয়লৈ যাও?
9,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁলোকে কি বিদ্যালয়লৈ যাও?
10,তেওঁ খোৱা ধনিয়া পানীত।,আপুনি খোৱা ধনিয়া পানীত।
10,তেওঁ খোৱা ধনিয়া পানীত।,তুমি খোৱা ধনিয়া পানীত।
10,তেওঁ খোৱা ধনিয়া পানীত।,মই খোৱা ধনিয়া পানীত।
11,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
12,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
13,তুমি কি বিদ্যালয়লৈ যাও?,আপুনি কি বিদ্যালয়লৈ যাও?
13,তুমি কি বিদ্যালয়লৈ যাও?,তোমাৰ কি বিদ্যালয়লৈ যাও?
13,তুমি কি বিদ্যালয়লৈ যাও?,মই কি বিদ্যালয়লৈ যাও?
14,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁ কি বিদ্যালয়লৈ যাও?
14,তুমি কি বিদ্যালয়লৈ যাও?,আপুনি কি বিদ্যালয়লৈ যাও?
14,তুমি কি বিদ্যালয়লৈ যাও?,তোমাৰ কি বিদ্যালয়লৈ যাও?
14,তুমি কি বিদ্যালয়লৈ যাও?,মই কি বিদ্যালয়লৈ যাও?
15,তুমি কি বিদ্যালয়লৈ যাও?,মই কি বিদ্যালয়লৈ যাও?
15,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁ কি বিদ্যালয়লৈ যাও?
15,তুমি কি বিদ্যালয়লৈ যাও?,আপুনি কি বিদ্যালয়লৈ যাও?
16,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁলোকে খোৱা ধনিয়া পানীত।
16,তেওঁ খোৱা ধনিয়া পানীত।,তুমি খোৱা ধনিয়া পানীত।
16,তেওঁ খোৱা ধনিয়া পানীত।,আপুনি খোৱা ধনিয়া পানীত।
17,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
18,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
19,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
20,তেওঁ খোৱা ধনিয়া পানীত।,মই খোৱা ধনিয়া পানীত।
20,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁলোকে খোৱা ধনিয়া পানীত।
20,তেওঁ খোৱা ধনিয়া পানীত।,তোৰ খোৱা ধনিয়া পানীত।
21,তুমি কি বিদ্যালয়লৈ যাও?,আপুনি কি বিদ্যালয়লৈ যাও?
21,তুমি কি বিদ্যালয়লৈ যাও?,তেওঁলোকে কি বিদ্যালয়লৈ যাও?
21,তুমি কি বিদ্যালয়লৈ যাও?,মই কি বিদ্যালয়লৈ যাও?
22,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
23,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
24,তেওঁ খোৱা ধনিয়া পানীত।,তোৰ খোৱা ধনিয়া পানীত।
24,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁলোকে খোৱা ধনিয়া পানীত।
25,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
26,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
27,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
28,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
29,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
30,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
31,মই বিয়লি চাহ খাব।,তেওঁ বিয়লি চাহ খাব।
31,মই বিয়লি চাহ খাব।,তোমাৰ বিয়লি চাহ খাব।
31,মই বিয়লি চাহ খাব।,তুমি বিয়লি চাহ খাব।
32,তুমি কি বিদ্যালয়লৈ যাও?,তোমাৰ কি বিদ্যালয়লৈ যাও?
32,তুমি কি বিদ্যালয়লৈ যাও?,মই কি বিদ্যালয়লৈ যাও?
33,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
34,তেওঁ খোৱা ধনিয়া পানীত।,মই খোৱা ধনিয়া পানীত।
34,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁলোকে খোৱা ধনিয়া পানীত।
35,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
36,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
37,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
38,তেওঁ খোৱা ধনিয়া পানীত।,তোৰ খোৱা ধনিয়া পানীত।
38,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁলোকে খোৱা ধনিয়া পানীত।
39,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
40,মই বিয়লি চাহ খাব।,তোমাৰ বিয়লি চাহ খাব।
40,মই বিয়লি চাহ খাব।,তেওঁলোকে বিয়লি চাহ খাব।
40,মই বিয়লি চাহ খাব।,তুমি বিয়লি চাহ খাব।
41,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
42,মই বিয়লি চাহ খাব।,আপুনি বিয়লি চাহ খাব।
42,মই বিয়লি চাহ খাব।,তোমাৰ বিয়লি চাহ খাব।
42,মই বিয়লি চাহ খাব।,তেওঁলোকে বিয়লি চাহ খাব।
43,তুমি কি বিদ্যালয়লৈ যাও?,আপুনি কি বিদ্যালয়লৈ যাও?
43,তুমি কি বিদ্যালয়লৈ যাও?,তোমাৰ কি বিদ্যালয়লৈ যাও?
43,তুমি কি বিদ্যালয়লৈ যাও?,মই কি বিদ্যালয়লৈ যাও?
44,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
45,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
46,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
47,তেওঁ খোৱা ধনিয়া পানীত।,মই খোৱা ধনিয়া পানীত।
47,তেওঁ খোৱা ধনিয়া পানীত।,তুমি খোৱা ধনিয়া পানীত।
47,তেওঁ খোৱা ধনিয়া পানীত।,তোৰ খোৱা ধনিয়া পানীত।
47,তেওঁ খোৱা ধনিয়া পানীত।,আপুনি খোৱা ধনিয়া পানীত।
48,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁলোকে খোৱা ধনিয়া পানীত।
48,তেওঁ খোৱা ধনিয়া পানীত।,মই খোৱা ধনিয়া পানীত।
48,তেওঁ খোৱা ধনিয়া পানীত।,আপুনি খোৱা ধনিয়া পানীত।
48,তেওঁ খোৱা ধনিয়া পানীত।,তুমি খোৱা ধনিয়া পানীত।
49,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
50,তেওঁ খোৱা ধনিয়া পানীত।,তোৰ খোৱা ধনিয়া পানীত।
50,তেওঁ খোৱা ধনিয়া পানীত।,আপুনি খোৱা ধনিয়া পানীত।
50,তেওঁ খোৱা ধনিয়া পানীত।,তুমি খোৱা ধনিয়া পানীত।
51,মই বিয়লি চাহ খাব।,আপুনি বিয়লি চাহ খাব।
51,মই বিয়লি চাহ খাব।,তুমি বিয়লি চাহ খাব।
51,মই বিয়লি চাহ খাব।,তোমাৰ বিয়লি চাহ খাব।
51,মই বিয়লি চাহ খাব।,তেওঁ বিয়লি চাহ খাব।
52,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
53,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
54,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
55,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
56,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
57,মই বিয়লি চাহ খাব।,তোমাৰ বিয়লি চাহ খাব।
57,মই বিয়লি চাহ খাব।,তেওঁ বিয়লি চাহ খাব।
57,মই বিয়লি চাহ খাব।,আপুনি বিয়লি চাহ খাব।
58,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
59,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁলোকে খোৱা ধনিয়া পানীত।
59,তেওঁ খোৱা ধনিয়া পানীত।,মই খোৱা ধনিয়া পানীত।
59,তেওঁ খোৱা ধনিয়া পানীত।,তুমি খোৱা ধনিয়া পানীত।
60,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
61,তেওঁ খোৱা ধনিয়া পানীত।,মই খোৱা ধনিয়া পানীত।
61,তেওঁ খোৱা ধনিয়া পানীত।,তোৰ খোৱা ধনিয়া পানীত।
61,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁলোকে খোৱা ধনিয়া পানীত।
62,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
63,মই বিয়লি চাহ খাব।,আপুনি বিয়লি চাহ খাব।
63,মই বিয়লি চাহ খাব।,তেওঁলোকে বিয়লি চাহ খাব।
63,মই বিয়লি চাহ খাব।,তেওঁ বিয়লি চাহ খাব।
64,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
65,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
66,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
67,মৌচাকৰ মাজত মৌ থাকে।,মৌচাকৰ মাজত মৌ থাকে।
68,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
69,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
70,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
71,আজিৰ দিনটো সুন্দৰ।,আজিৰ দিনটো সুন্দৰ।
72,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য এটা ভাল মানুহ।
73,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
74,বাপেকৰ নাম ৰমেশ।,বাপেকৰ নাম ৰমেশ।
75,তেওঁবোৰ বাগিছাত ফুল লাগিছে।,তেওঁবোৰ বাগিছাত ফুল লাগিছে।
76,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।,ৰমা আৰু শ্যাম বিদ্যালয়লৈ গৈছিল।
77,মই বিয়লি চাহ খাব।,তেওঁলোকে বিয়লি চাহ খাব।
77,মই বিয়লি চাহ খাব।,তুমি বিয়লি চাহ খাব।
77,মই বিয়লি চাহ খাব।,আপুনি বিয়লি চাহ খাব।
78,তেওঁ খোৱা ধনিয়া পানীত।,তুমি খোৱা ধনিয়া পানীত।
78,তেওঁ খোৱা ধনিয়া পানীত।,মই খোৱা ধনিয়া পানীত।
78,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁলোকে খোৱা ধনিয়া পানীত।
78,তেওঁ খোৱা ধনিয়া পানীত।,তোৰ খোৱা ধনিয়া পানীত।
79,আমাৰ ঘৰখন বৰ ডাঙৰ।,আমাৰ ঘৰখন বৰ ডাঙৰ।
80,মই বিয়লি চাহ খাব।,তুমি বিয়লি চাহ খাব।
80,মই বিয়লি চাহ খাব।,আপুনি বিয়লি চাহ খাব।
