Sentence Index,Sentence,Word,POS Tag
0,মই স্কুললৈ গলো।,মই,PRON
0,মই স্কুললৈ গলো।,স্কুললৈ,UNK
0,মই স্কুললৈ গলো।,গলো।,UNK
1,তেওঁ কিতাপ পঢ়ি থাকে।,তেওঁ,PRON
1,তেওঁ কিতাপ পঢ়ি থাকে।,কিতাপ,NOUN
1,তেওঁ কিতাপ পঢ়ি থাকে।,পঢ়ি,VERB
1,তেওঁ কিতাপ পঢ়ি থাকে।,থাকে।,UNK
2,মই খেলিবলৈ পাৰোঁ।,মই,PRON
2,মই খেলিবলৈ পাৰোঁ।,খেলিবলৈ,UNK
2,মই খেলিবলৈ পাৰোঁ।,পাৰোঁ।,UNK
3,তুমি ক’ত গৈছিলা?,তুমি,PRON
3,তুমি ক’ত গৈছিলা?,ক’ত,NOUN
3,তুমি ক’ত গৈছিলা?,গৈছিলা?,UNK
4,আজিৰ দিনটো ধুনীয়া।,আজিৰ,NOUN
4,আজিৰ দিনটো ধুনীয়া।,দিনটো,UNK
4,আজিৰ দিনটো ধুনীয়া।,ধুনীয়া।,UNK
5,তুমি কি বিদ্যালয়লৈ যাও?,তুমি,PRON
5,তুমি কি বিদ্যালয়লৈ যাও?,কি,PART
5,তুমি কি বিদ্যালয়লৈ যাও?,বিদ্যালয়লৈ,UNK
5,তুমি কি বিদ্যালয়লৈ যাও?,যাও?,UNK
6,শিলাদিত্য এটা ভাল মানুহ।,শিলাদিত্য,UNK
6,শিলাদিত্য এটা ভাল মানুহ।,এটা,NUM
6,শিলাদিত্য এটা ভাল মানুহ।,ভাল,VERB
6,শিলাদিত্য এটা ভাল মানুহ।,মানুহ।,UNK
7,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁ,PRON
7,তেওঁ খোৱা ধনিয়া পানীত।,খোৱা,VERB
7,তেওঁ খোৱা ধনিয়া পানীত।,ধনিয়া,VERB
7,তেওঁ খোৱা ধনিয়া পানীত।,পানীত।,UNK
8,তেওঁ খোৱা ধনিয়া পানীত।,তেওঁ,PRON
8,তেওঁ খোৱা ধনিয়া পানীত।,খোৱা,VERB
8,তেওঁ খোৱা ধনিয়া পানীত।,ধনিয়া,VERB
